year,sido_cd,spot_nm,bjd_cd,lat,lon,occrrnc_cnt,caslt_cnt,dth_cnt,se_cnt,sl_cnt,wnd_cnt
2017,11,서울특별시 구로구 개봉동(조양빌딩 인근),1153010700,37.49305827515151,126.85609490606059,28,40,0,9,28,3
2017,11,서울특별시 구로구 구로동(구로구청앞 인근),1153010200,37.49526847454546,126.88888837606059,28,33,0,9,22,2
2017,11,서울특별시 구로구 구로동(고척교사거리 인근),1153010200,37.498884736363635,126.87183337363636,27,44,0,9,33,2
2017,11,서울특별시 금천구 시흥동(시흥사거리 인근),1154510300,37.45476667636363,126.90057509242419,39,52,0,15,32,5
2017,11,서울특별시 금천구 독산동(독산사거리 인근),1154510200,37.47144175818182,126.89823265727274,28,58,0,16,40,2
2017,11,서울특별시 금천구 시흥동(소하IC 인근),1154510300,37.43830118969697,126.90315075787883,27,55,1,6,45,3
2017,11,서울특별시 영등포구 문래동2가(영등포로터리버드나룻 인근),1156012000,37.51913766454545,126.91255154363634,61,100,0,16,77,7
2017,11,서울특별시 영등포구 문래동3가(영등포역 인근),1156012100,37.51641380515151,126.90668487363638,51,60,0,13,38,9
2017,11,서울특별시 영등포구 양평동(양평동사거리 인근),1156013400,37.535956687878794,126.89784331606059,41,65,0,11,48,6
2017,11,서울특별시 동작구 신대방동(신대방동빌딩 인근),1159010900,37.49855545606061,126.92815970242425,54,71,0,15,52,4
2017,11,서울특별시 동작구 상도1동(상도역 인근),1159010300,37.50318978787879,126.947717199697,35,49,1,9,31,8
2017,11,서울특별시 동작구 대방동(상도3동주민센터 인근),1159010800,37.49924861515151,126.93121849848487,34,40,0,7,29,4
2017,11,서울특별시 관악구 신림동(신림역 인근),1162010200,37.484269325151516,126.92975011848486,43,55,0,12,36,7
2017,11,서울특별시 관악구 봉천동(서울대입구역 인근),1162010100,37.48126630636363,126.9527762518182,38,49,0,9,38,2
2017,11,서울특별시 관악구 신림동(패션거리입구 인근),1162010200,37.4875707639394,126.92881669787877,34,39,0,13,21,5
2017,11,서울특별시 서초구 염곡동(트럭터미널장군촌 인근),1165011000,37.46067682848485,127.0360268878788,66,114,0,21,87,6
2017,11,서울특별시 서초구 염곡동(염곡사거리 인근),1165011000,37.46570191848485,127.04301759242422,47,80,0,7,65,8
2017,11,서울특별시 서초구 반포동(서초구동작구경계1 인근),1165010700,37.49983939727272,126.9848683678788,36,75,0,7,62,6
2017,11,서울특별시 강남구 논현동(역삼역 인근),1168010800,37.50082507121212,127.03697194181815,57,69,0,17,44,8
2017,11,서울특별시 강남구 논현동(교보타워사거리 인근),1168010800,37.50452127393939,127.02452718909095,49,74,1,11,54,8
2017,11,서울특별시 강남구 논현동(CHA여성의학연구소 인근),1168010800,37.507329303333336,127.03393031727275,44,69,0,12,51,6
2017,11,서울특별시 송파구 장지동(복정역 인근),1171010900,37.470868873939395,127.12676428909091,48,80,0,13,52,15
2017,11,서울특별시 송파구 문정동(가락시장역 인근),1171010800,37.49258017636364,127.11881266727273,46,69,0,19,43,7
2017,11,서울특별시 송파구 잠실동(잠실천주교회 인근),1171010100,37.510862833333334,127.08297784727273,43,49,0,8,28,13
2017,11,서울특별시 강동구 천호동(강동성심병원 인근),1174010900,37.53527612272727,127.13433145606062,42,70,1,15,49,5
2017,11,서울특별시 강동구 성내동(길동사거리 인근),1174010800,37.53395525969698,127.13861581242429,41,58,3,19,31,5
2017,11,서울특별시 강동구 천호동(올림픽로천호대로진입 인근),1174010900,37.53835924727273,127.1242718212121,37,57,0,9,43,5
2017,26,부산광역시 중구 남포동6가(남포사거리 인근),2611014100,35.09774708424243,129.02825543848482,33,41,0,12,25,4
2017,26,부산광역시 중구 부평동4가(보수사거리 인근),2611012600,35.103111926666664,129.02535272121213,27,32,0,9,22,1
