key,sido_cd,road_class,n_roads,max_lanes,maxspeed
37.65107,126.91997,11,primary,5,2,50
37.59779,126.84507,11,unclassified,5,,
37.64704,126.84774,11,motorway,4,3,100
37.6038,126.8681,11,primary,11,3,60
37.59603,126.87665,11,primary,12,3,60
37.58791,126.87875,11,unclassified,1,1,
37.61172,126.86297,11,unclassified,2,,
37.60268,126.86428,11,tertiary,2,2,50
37.6642,127.12298,11,service,2,,
37.65541,126.94199,11,secondary,1,4,50
37.6384,126.87124,11,primary,13,3,70
37.65819,126.8787,11,unclassified,2,,
37.64379,127.12615,11,tertiary,7,6,50
37.62673,126.88178,11,secondary,2,2,60
37.60849,126.83358,11,unclassified,1,,
37.65041,127.1274,11,tertiary,3,4,60
37.61986,126.85448,11,secondary,4,2,50
37.66182,126.8429,11,primary,4,2,60
37.63508,127.13257,11,motorway,1,4,100
37.63877,126.87365,11,secondary,10,2,50
37.64424,127.1374,11,tertiary,4,,60
37.61017,126.97783,11,primary,8,4,
37.65347,126.88334,11,tertiary,14,1,50
37.65799,126.83519,11,secondary,12,2,50
37.63433,126.83523,11,primary,19,3,50
37.66296,126.84598,11,primary,1,3,60
37.59946,126.85867,11,unclassified,2,,
37.61636,126.85826,11,motorway,4,3,100
37.65395,126.84052,11,primary,10,6,60
37.65131,127.13291,11,motorway,2,3,100
37.65165,126.86703,11,tertiary,11,6,50
37.44088,127.0603,11,motorway,6,5,110
37.61299,126.87461,11,service,11,,
37.61264,126.97237,11,residential,10,,
37.64292,126.95151,11,service,2,,
37.63929,126.86113,11,unclassified,2,,
37.65089,126.90929,11,primary,6,3,60
37.63566,126.88252,11,secondary,4,2,60
37.65572,126.91943,11,residential,3,,
37.64137,126.87473,11,secondary,4,2,50
37.63857,126.83113,11,secondary,16,3,50
37.64695,126.90172,11,primary,8,3,60
37.6307,126.83591,11,primary,11,3,60
37.6378,127.13817,11,primary,5,,
37.63091,126.87941,11,primary,19,8,60
37.66575,126.91601,11,unclassified,1,,
37.64431,126.83339,11,secondary,9,3,50
37.63229,126.87332,11,tertiary,3,1,50
37.65429,126.92063,11,primary,9,2,50
37.61364,126.97079,11,residential,11,1,
37.60762,126.96851,11,residential,9,,
37.63022,126.84254,11,unclassified,3,,
37.6025,126.87409,11,residential,19,,
37.6531,126.87585,11,residential,7,,
37.65683,126.94755,11,residential,23,,
37.66468,127.00684,11,residential,2,,
37.5993,126.85606,11,unclassified,1,,
37.59786,126.83645,11,unclassified,1,,
37.63196,127.13747,11,tertiary,8,,50
37.63878,127.1247,11,tertiary,5,,
37.61884,126.84265,11,primary,12,3,60
37.62758,126.83546,11,primary,15,3,60
37.66304,126.84583,11,primary,1,3,60
37.6069,126.84716,11,residential,3,,
37.66192,126.83946,11,secondary,12,1,50
37.64786,126.88117,11,tertiary,11,2,50
37.66366,126.92542,11,unclassified,1,,
37.63905,126.8431,11,unclassified,1,,
37.64493,126.87632,11,primary,8,3,60
37.62381,126.88807,11,residential,5,,
37.6301,126.84057,11,unclassified,1,,
37.63898,126.8568,11,residential,2,,
37.64795,127.11485,11,tertiary,11,4,
37.60727,126.843,11,trunk,12,3,70
37.61199,126.85179,11,unclassified,2,,
37.5918,126.86711,11,residential,6,,
37.65246,127.12754,11,tertiary,7,4,60
37.60557,126.87716,11,service,5,,
37.65625,126.82848,11,trunk,11,3,80
37.62289,126.84331,11,residential,17,1,30
37.66082,127.13264,11,motorway,3,3,100
37.5992,126.84751,11,unclassified,5,,
37.62418,126.85254,11,tertiary,2,1,50
37.60849,126.86771,11,secondary,4,2,60
37.64238,127.11445,11,secondary,2,6,60
37.65685,126.89706,11,primary,7,4,60
37.65711,126.93874,11,residential,3,,
37.57671,126.87807,11,unclassified,2,,
37.60862,126.8404,11,service,1,,
37.65153,126.91882,11,primary,7,2,50
37.60884,126.84054,11,service,1,,
37.63808,126.86135,11,unclassified,2,,
37.61135,126.85603,11,primary,7,3,60
37.66601,126.85268,11,motorway,9,3,100
37.59988,126.86741,11,tertiary,8,1,50
37.61395,126.83104,11,residential,28,1,30
37.62269,126.85818,11,motorway,7,3,100
37.62613,126.85849,11,trunk,14,3,70
37.62202,126.84535,11,secondary,16,2,50
37.654,126.88113,11,primary,10,3,60
37.66363,126.91958,11,secondary,8,2,60
37.61328,126.98182,11,residential,4,1,
37.66421,126.92567,11,unclassified,1,,
37.60589,126.96977,11,primary,8,4,
37.66118,126.88623,11,primary,4,3,60
37.62864,126.85829,11,tertiary,4,1,50
37.62375,126.85008,11,tertiary,6,1,50
37.65235,126.95569,11,residential,1,,
37.63732,126.8546,11,tertiary,4,1,50
37.65523,127.12986,11,tertiary,6,,60
37.63545,126.84987,11,motorway,1,3,100
37.65085,126.86338,11,service,8,2,30
37.58765,126.86932,11,service,2,,
37.65336,126.89535,11,primary,20,4,60
37.4611,127.07431,11,trunk,2,,80
37.44137,127.07576,11,trunk,4,,80
37.65322,126.93133,11,residential,20,1,30
37.62119,126.96156,11,service,1,,
37.6374,127.13741,11,tertiary,3,,
37.65752,126.93114,11,residential,2,,
37.60177,126.84959,11,motorway,3,2,80
37.45667,127.08199,11,tertiary,3,,
37.63108,126.85225,11,motorway,7,3,100
37.63333,127.13384,11,motorway,4,4,100
37.66179,126.95171,11,tertiary,4,2,60
37.63701,126.8598,11,unclassified,3,,
37.64928,126.87138,11,tertiary,5,4,50
35.19918,128.90881,26,unclassified,1,,
35.18133,128.93545,26,service,1,,
35.19853,129.2059,26,secondary,3,,60
35.15222,128.86036,26,tertiary,3,,
35.13967,128.84807,26,secondary,2,,
35.18615,128.8766,26,unclassified,2,,
35.15504,128.94008,26,residential,2,,
35.18212,128.9275,26,service,4,,
35.15204,128.85181,26,trunk,4,,
35.19875,128.90012,26,tertiary,2,,
35.17504,128.90729,26,unclassified,1,,
35.20144,129.19146,26,residential,3,,
35.15453,128.87711,26,service,1,,
35.19254,129.21023,26,tertiary,5,,
35.17406,128.93044,26,tertiary,1,,
35.2028,129.19481,26,residential,2,,
35.18269,128.86778,26,secondary,3,3,
35.25037,129.14061,26,tertiary,1,,
35.14129,128.86191,26,tertiary,4,4,
35.14389,128.86841,26,residential,2,,
35.1378,128.86385,26,service,1,,
35.2349,129.14226,26,residential,1,,
35.15289,128.91693,26,tertiary,3,,
35.13132,128.86225,26,residential,1,,
35.23136,129.15348,26,primary,25,3,
35.20538,128.84022,26,primary,6,3,
35.20337,129.19095,26,residential,2,,
35.18396,128.95172,26,service,2,,
35.13065,128.8808,26,residential,8,,
35.21267,128.91523,26,unclassified,1,,
35.14465,128.85937,26,trunk,2,,
35.1613,128.9417,26,tertiary,4,,
35.2346,129.17809,26,unclassified,10,,
35.18872,129.20756,26,tertiary,3,,
35.20863,129.15495,26,service,1,,
35.24414,129.0507,26,trunk,2,2,80
35.21516,128.9175,26,unclassified,2,,
35.13408,128.87067,26,tertiary,1,,
35.17381,128.93595,26,service,2,,
35.14178,128.90333,26,unclassified,1,,
35.15822,128.91948,26,tertiary,5,,
35.13429,128.86975,26,tertiary,2,,
35.13695,128.87514,26,tertiary,2,,
35.09774,129.10408,26,unclassified,12,,
35.23373,129.17699,26,unclassified,4,,
35.16008,128.92998,26,motorway,2,4,100
35.15315,128.92682,26,tertiary,1,,
35.18753,128.92082,26,tertiary,5,,
35.20135,128.85398,26,unclassified,1,,
35.16533,128.90089,26,motorway,3,4,100
