key,road_class,n_roads,max_lanes,maxspeed
35.85632,128.58291,secondary,15,,
35.88633,128.60201,secondary,14,3,
35.85966,128.61765,secondary,14,10,60
35.84873,128.52637,primary,12,4,60
35.85971,128.46311,primary,13,4,60
35.85737,128.46561,primary,10,4,60
37.46443,126.63604,primary,14,,
37.49321,126.47991,trunk,13,3,
37.44955,126.62461,motorway,9,2,80
37.4729,126.63583,motorway,19,4,80
37.45787,126.68948,primary,13,,
37.46379,126.66932,primary,15,,
37.42477,126.66917,secondary,18,4,
37.40349,126.67902,secondary,11,6,60
37.41367,126.6757,secondary,13,10,
37.46162,126.72026,primary,17,,
37.46705,126.70806,primary,31,4,
37.44976,126.70768,secondary,16,8,
37.49856,126.72233,secondary,20,,
37.48732,126.72942,primary,17,7,50
37.52547,126.72223,primary,7,,
37.53411,126.73414,secondary,6,6,
37.55224,126.67718,secondary,4,10,60
37.60211,126.65774,secondary,15,6,60
37.74276,126.49229,primary,6,4,
37.74501,126.48796,secondary,15,2,
35.15019,126.91542,secondary,12,,
35.15479,126.93194,primary,14,4,60
35.15069,126.85564,primary,18,4,60
35.15388,126.85304,tertiary,9,4,
35.13459,126.90999,primary,18,4,60
35.17309,126.91235,secondary,26,,
35.17302,126.88472,primary,25,4,60
35.18193,126.87293,primary,22,4,60
35.21419,126.84593,tertiary,16,4,
35.18371,126.81889,secondary,15,5,60
36.35071,127.44143,secondary,24,6,70
36.31698,127.45635,primary,20,4,
36.32861,127.40505,primary,22,4,60
36.32248,127.41244,primary,10,8,60
36.33384,127.39864,primary,16,4,70
36.34928,127.37709,primary,21,4,70
36.35193,127.37653,tertiary,12,4,
36.35408,127.34051,primary,20,10,70
36.35754,127.33178,primary,26,4,
36.35334,127.32986,secondary,17,4,60
36.35574,127.44474,secondary,18,4,
36.35902,127.42541,secondary,16,3,70
35.55271,129.32186,secondary,13,,60
35.55587,129.30956,primary,10,6,50
35.5377,129.32897,secondary,18,,60
35.4969,129.4277,secondary,10,,
35.53915,129.4268,secondary,11,3,40
35.50914,129.42585,tertiary,7,,
35.55696,129.35947,secondary,10,,70
35.62545,129.35104,secondary,15,,70
35.5651,129.12483,tertiary,9,,
35.56382,129.12761,motorway,21,3,100
36.60315,127.30509,primary,25,3,60
36.49115,127.25649,tertiary,18,4,50
37.26648,127.00087,primary,30,,
37.26438,127.03281,tertiary,16,8,60
37.2594,126.97357,secondary,12,3,
37.43975,127.12783,primary,23,5,
37.73857,127.0478,secondary,37,4,50
37.39171,126.95069,tertiary,11,8,60
37.40305,126.95708,primary,17,,
37.50571,126.75326,tertiary,9,5,50
37.48634,126.77683,primary,21,8,
37.50395,126.76917,tertiary,11,,60
37.46256,126.87978,secondary,17,,50
36.99035,127.12164,primary,20,,
37.89915,127.06116,secondary,12,,
37.3288,126.78808,primary,18,2,
37.30171,126.86332,secondary,19,3,
37.65501,126.77605,primary,14,4,60
37.45991,127.03283,trunk,12,3,50
37.41744,126.9867,primary,9,,
37.59731,127.13672,tertiary,24,,
37.60084,127.13066,primary,25,5,60
37.61328,127.17136,primary,22,9,60
37.71441,127.18254,secondary,17,6,
37.65727,127.30271,tertiary,10,,
37.14866,127.0782,secondary,13,4,50
37.14897,127.06852,secondary,20,4,
37.35006,126.73943,tertiary,11,4,
37.42878,126.77395,secondary,10,,
37.43982,126.78691,primary,21,,
37.35913,126.93436,tertiary,16,,
37.36121,126.93263,tertiary,19,6,
37.35527,126.94672,primary,20,4,60
37.3475,126.98442,trunk,8,,90
37.3929,126.98682,primary,8,5,
37.53961,127.21116,primary,36,8,
37.32421,127.10305,motorway,40,4,110
37.23552,127.20877,primary,20,,
37.73514,126.75887,primary,10,,
37.25282,127.48905,primary,8,,
37.00755,127.26955,secondary,12,,
37.59975,126.77173,primary,17,2,70
37.6444,126.66991,tertiary,17,6,
37.20709,127.07494,primary,27,4,60
37.20931,127.09882,secondary,10,,60
37.41602,127.25046,secondary,13,4,
37.40642,127.2611,primary,20,6,70
37.83703,127.06896,residential,6,,
37.8403,127.06329,secondary,16,,
37.82744,127.14886,primary,11,,
37.82389,127.14261,primary,6,4,60
37.30079,127.64989,secondary,8,4,50
37.28643,127.61908,trunk,15,2,80
37.2025,127.54778,secondary,14,,
38.03004,127.06774,tertiary,14,,
38.01108,127.06696,primary,3,6,
37.82071,127.51349,primary,24,4,
37.71956,127.40283,primary,6,2,
37.74077,127.42262,primary,16,2,
37.54407,127.32013,secondary,21,4,30
37.87113,127.7253,tertiary,14,,
37.88044,127.72781,tertiary,15,,
37.34774,127.93314,tertiary,22,4,
37.344,127.93195,tertiary,29,3,
37.34552,127.92904,tertiary,27,3,60
37.75778,128.89175,tertiary,17,,
37.51525,129.10423,primary,15,4,
37.52607,129.10486,primary,7,6,60
37.53878,129.10193,tertiary,15,,
37.17153,128.99414,primary,11,,60
38.19855,128.57261,primary,13,4,
38.18979,128.59356,primary,17,4,40
37.44178,129.17832,primary,8,,
37.70187,127.85213,primary,7,,
37.7038,127.69405,secondary,6,,
37.48994,127.9865,tertiary,25,,
37.45147,128.07272,secondary,19,,
37.49481,127.98125,secondary,15,4,60
37.18143,128.46987,primary,16,4,
37.36594,128.3956,primary,16,4,
37.68635,128.6959,secondary,5,2,60
37.22637,128.81517,secondary,18,,60
37.25416,128.7792,trunk,11,,80
38.07182,127.52345,primary,17,,
38.09122,127.99665,primary,14,,
38.10425,127.99171,tertiary,24,,
38.24807,128.56741,primary,13,4,80
38.37973,128.4743,primary,16,4,80
38.10748,128.63398,primary,11,4,30
38.07293,128.63457,primary,5,4,60
38.15424,128.608,primary,5,4,70
36.62548,127.43077,secondary,22,7,30
36.62704,127.49045,secondary,12,4,
36.97304,127.93443,tertiary,37,4,60
36.98015,127.91465,secondary,14,6,
37.13563,128.21223,tertiary,9,4,
37.13543,128.20922,tertiary,15,4,
37.1306,128.20467,primary,16,4,
36.49171,127.73027,trunk,13,,
36.41941,127.73138,primary,4,,
36.30982,127.56097,primary,15,4,
36.30693,127.57308,secondary,25,,
36.17116,127.77405,primary,16,,
36.78817,127.58687,primary,12,4,
36.7865,127.58108,primary,16,,
36.7855,127.57768,primary,9,,
36.86095,127.43864,primary,15,2,60
36.86253,127.45126,primary,10,2,60
36.8083,127.79412,primary,20,,60
36.79759,127.78362,primary,10,3,80
36.96716,127.48714,tertiary,11,,
36.90862,127.54227,secondary,9,6,
36.98224,128.36908,primary,16,4,50
36.98481,128.36933,primary,14,4,50
36.98605,128.37133,secondary,13,2,50
36.8333,127.13577,tertiary,10,2,40
36.82504,127.13807,secondary,17,3,60
36.82275,127.11196,secondary,18,3,80
36.47424,127.13764,secondary,19,,
36.44202,127.11957,secondary,17,4,80
36.34535,126.59927,primary,11,3,60
36.78188,127.00022,primary,29,6,
36.78394,127.01704,secondary,26,,50
36.77278,126.44179,primary,28,4,80
36.77736,126.44771,secondary,19,4,50
36.191,127.09358,primary,12,4,50
36.21375,127.12863,primary,11,3,
36.28166,127.24029,primary,11,4,
36.28238,127.24447,trunk,10,2,
36.90231,126.68431,trunk,27,2,80
36.89133,126.62595,secondary,21,,
36.10968,127.49108,primary,14,2,
36.10232,127.49985,primary,27,4,
36.27598,126.89923,secondary,10,,
36.27613,126.91277,secondary,14,4,
36.28401,126.9292,primary,10,4,
36.14402,126.59744,primary,11,3,
36.02025,126.73849,trunk,19,,
36.4279,126.71528,tertiary,10,,
36.44285,126.79515,trunk,17,,80
36.48371,126.79154,primary,6,,
36.73726,126.85751,primary,6,,
36.7104,126.83149,primary,6,2,80
36.67959,126.67395,secondary,5,3,70
36.7514,126.30227,tertiary,13,1,
36.59742,126.32455,primary,10,2,80
36.75451,126.29489,tertiary,13,,
35.81901,127.11374,tertiary,13,,
35.9755,126.73114,tertiary,15,,
35.96991,126.71578,tertiary,16,,
35.93535,126.96562,tertiary,14,,
35.93995,126.94722,tertiary,20,4,
35.96084,126.95797,residential,9,2,
35.56655,126.86077,primary,17,,
35.56171,126.85332,secondary,13,,
35.55982,126.85664,tertiary,7,,
35.40651,127.37639,primary,8,,
35.40928,127.37683,primary,21,,
35.4151,127.38638,primary,17,,
35.80253,126.8925,secondary,11,,
35.80354,126.89923,secondary,12,,
35.87927,127.15571,primary,5,,
35.85451,127.20914,primary,5,4,
35.79226,127.42659,primary,24,2,
35.94024,127.65879,primary,19,2,80
36.00788,127.66708,secondary,14,2,
35.62821,127.29828,primary,21,,
35.63172,127.29054,primary,7,4,
35.37131,127.14165,tertiary,14,,
35.36997,127.14025,tertiary,15,,
35.37675,127.14082,secondary,14,,
35.72838,126.73808,secondary,27,,
35.71871,126.73064,secondary,17,,
34.80591,126.42484,tertiary,14,6,
34.81136,126.41801,tertiary,12,,
34.80346,126.41973,secondary,16,4,
34.74985,127.67895,tertiary,14,7,
34.95812,127.51803,secondary,12,,
34.99576,126.71424,primary,15,,
35.0221,126.77512,trunk,12,,90
35.01618,126.71425,primary,9,8,60
34.93869,127.69806,secondary,17,6,
34.93179,127.74673,secondary,5,4,
35.31989,126.98515,secondary,20,,
35.27969,127.2971,secondary,18,4,
35.28275,127.14666,trunk,7,2,
34.60844,127.28844,primary,20,1,
34.60111,127.27874,tertiary,13,,
34.76794,127.08349,secondary,15,,
34.84704,127.34346,secondary,12,2,
34.7704,127.08013,secondary,11,,
35.05613,126.97416,trunk,17,3,60
35.05579,126.99027,tertiary,12,,
35.05575,126.98584,tertiary,8,,
34.65758,126.88629,trunk,8,,60
34.62378,126.7961,tertiary,2,,
34.62797,126.79089,trunk,7,2,
34.69761,126.7094,motorway,11,2,100
34.57094,126.59848,tertiary,12,,
34.5658,126.59421,secondary,9,,
34.72557,126.56894,secondary,14,2,
34.83422,126.69197,primary,2,4,
34.88791,126.68964,primary,6,,
34.81286,126.46022,tertiary,10,4,
34.90783,126.43066,primary,10,2,40
34.99595,126.48469,primary,2,4,
35.02096,126.53356,trunk,6,,
35.05989,126.5241,primary,13,,
35.27363,126.50383,primary,23,4,
35.27827,126.50309,secondary,9,,
35.29706,126.78009,tertiary,11,,
35.28783,126.78651,motorway,9,2,100
35.23554,126.82331,motorway,4,2,100
34.318,126.74772,secondary,7,,
34.32106,126.74533,primary,12,,
34.33665,126.72938,trunk,11,,
34.48183,126.25843,tertiary,12,,
34.86521,126.31205,primary,18,1,
36.01213,129.37112,primary,26,,
36.03477,129.36415,primary,22,4,50
35.84345,129.20706,tertiary,12,1,20
35.85524,129.20686,tertiary,22,2,
36.1245,128.11798,tertiary,34,,
36.12834,128.1182,secondary,16,2,
36.57199,128.69748,tertiary,7,3,60
36.56542,128.72646,tertiary,11,2,
36.10591,128.41971,secondary,19,4,60
36.11085,128.41749,primary,16,,60
36.12621,128.35719,secondary,18,4,60
36.80836,128.61165,primary,5,,
36.82617,128.61951,tertiary,16,,
36.82101,128.62577,secondary,12,,
35.9669,128.93129,secondary,8,2,
36.41589,128.16282,secondary,15,2,
36.66123,128.12423,trunk,4,2,60
36.60744,128.20619,tertiary,9,,30
35.82406,128.74213,secondary,15,,
35.82386,128.73739,primary,11,,
36.34943,128.69559,tertiary,3,6,
36.42178,128.6728,primary,10,,
36.28517,128.955,primary,6,,
36.52641,129.04436,primary,8,,60
36.66159,129.11272,secondary,17,2,
36.35699,129.38067,primary,13,4,
36.35883,129.38256,secondary,6,2,
36.60638,129.41118,primary,10,4,
35.64916,128.75102,motorway,11,2,110
35.64744,128.73774,secondary,9,,
35.65682,128.69683,trunk,9,,
35.70331,128.25219,primary,3,,
35.88262,128.37983,trunk,13,2,70
35.91795,128.27893,primary,6,,
36.07878,128.40172,primary,14,,60
35.99625,128.39911,tertiary,11,,
36.65038,128.44782,secondary,15,4,
36.93487,128.91277,tertiary,6,,
35.20463,128.57741,secondary,11,2,70
35.22269,128.68656,primary,8,,
35.18428,128.11728,tertiary,10,3,
35.18418,128.08855,residential,18,,
35.19326,128.0678,tertiary,22,,
34.85752,128.42854,tertiary,15,4,40
34.85997,128.42764,tertiary,18,6,
35.08029,128.08314,primary,6,,
35.22568,128.87442,primary,21,,
35.26062,128.86968,secondary,18,,
35.48575,128.7504,primary,9,,
35.488,128.7485,primary,12,,
34.88693,128.62386,primary,14,,
34.89193,128.62484,primary,31,3,70
35.32017,129.00711,tertiary,2,6,
35.33035,129.00641,primary,21,,50
35.41569,129.16869,secondary,18,,
35.3168,128.26134,primary,9,,
35.31402,128.25427,trunk,12,,
35.31759,128.28182,primary,16,1,
35.28091,128.40315,primary,15,4,
35.26202,128.34586,primary,13,,
35.3896,128.48189,tertiary,16,,
35.45705,128.52657,secondary,10,2,
34.97452,128.32193,secondary,22,2,
34.97401,128.32507,secondary,14,,
34.83348,127.89937,primary,12,,20
35.06772,127.74933,tertiary,15,,
34.99621,127.81144,primary,16,4,70
35.30153,127.96271,primary,16,,
35.52094,127.72995,tertiary,24,,
35.52156,127.73358,primary,28,,20
35.51538,127.72979,primary,14,2,
35.68501,127.91706,secondary,10,,
35.68771,127.92077,secondary,7,4,
35.68927,127.90922,secondary,18,,
35.56821,128.16333,primary,14,,
35.41434,128.12231,tertiary,21,,
33.49379,126.49223,secondary,13,6,
33.48976,126.49591,secondary,13,,
33.486,126.47959,secondary,17,7,
33.25271,126.56116,secondary,23,,
33.24739,126.56868,secondary,10,,
37.57022,126.97624,primary,34,8,60
37.55613,126.97268,primary,33,5,
37.56116,126.98164,primary,30,11,50
37.5345,126.99397,secondary,16,1,
37.5232,126.96224,primary,18,6,
37.53429,127.00695,primary,20,3,
37.5612,127.03546,primary,35,,10
37.54218,127.06404,primary,25,7,
37.60264,127.03248,trunk,29,3,70
37.60428,127.0252,trunk,32,6,70
37.64652,127.0335,primary,17,3,
37.6571,127.06664,secondary,22,,
37.59909,126.91572,primary,25,6,50
37.59169,126.94227,trunk,30,8,70
37.57172,126.95964,primary,18,8,50
37.56528,126.96634,primary,29,8,60
37.54432,126.9503,primary,48,5,
37.53603,126.82921,primary,20,4,
37.53035,126.87488,trunk,12,5,80
37.55482,126.85185,primary,18,8,
37.54167,126.84049,primary,20,6,
37.48668,126.87798,primary,16,3,
37.47699,126.89879,primary,12,4,60
37.49899,126.92822,primary,20,,
37.48194,126.94635,primary,29,8,60
37.50214,127.00349,primary,21,4,60
37.5083,127.03727,primary,11,,
37.51077,127.08589,primary,11,,
37.49329,127.11814,primary,14,7,50
35.0986,129.03584,primary,24,4,
35.11175,129.02268,secondary,16,,
35.1371,129.06357,secondary,18,8,
35.093,129.04487,trunk,24,,
35.09672,129.0609,secondary,9,,
35.15774,129.05782,primary,19,4,
35.2017,129.08395,primary,18,6,
35.21298,129.03659,trunk,26,,80
35.16193,129.17136,secondary,31,4,30
35.16948,129.17582,secondary,12,6,
35.10151,128.97648,primary,12,6,
35.21393,129.10532,secondary,19,,
35.23021,129.08964,secondary,7,1,30
35.23992,129.08792,trunk,23,,
35.21446,128.94811,primary,7,,
35.111,128.9325,primary,16,,70
35.15727,129.1131,secondary,18,,
35.18624,128.99101,trunk,13,,30
35.23599,129.21785,secondary,21,,
35.24113,129.21661,tertiary,12,1,
35.86644,128.58764,secondary,8,5,70
35.88116,128.61413,secondary,13,,
35.87964,128.57139,secondary,8,,
35.84151,128.60631,trunk,12,8,
35.89764,128.61499,primary,20,6,
35.94155,128.5634,secondary,18,,
35.85929,128.62401,secondary,9,10,
35.85884,128.6358,secondary,19,10,
35.8375,128.53692,secondary,14,,
35.87371,128.49741,secondary,14,,
37.4582,126.63028,motorway,10,2,80
37.49392,126.4905,tertiary,28,6,
37.47674,126.63329,motorway,26,3,80
37.47329,126.63698,motorway,17,4,80
37.45848,126.68014,primary,9,,
37.45782,126.69016,primary,11,,
37.46219,126.64288,primary,35,,
37.42322,126.69819,secondary,11,10,
37.42593,126.6989,secondary,21,,
37.41375,126.68475,secondary,19,4,
37.45488,126.73337,primary,16,6,
37.50738,126.72068,secondary,15,,
37.53068,126.72255,secondary,20,2,
37.54324,126.72855,secondary,15,8,
37.52461,126.72219,motorway,13,3,
37.50633,126.67237,secondary,15,,
37.56572,126.67755,secondary,21,2,30
35.14411,126.92581,primary,22,4,60
35.16241,126.85589,trunk,24,4,80
35.11168,126.89604,trunk,38,5,90
35.11804,126.89875,primary,23,,50
35.17431,126.91275,secondary,37,2,30
35.13727,126.79231,secondary,16,,
36.3265,127.42715,secondary,17,4,
36.32584,127.39485,secondary,17,4,70
36.35871,127.37939,primary,26,4,70
36.35509,127.33672,primary,10,,
36.34833,127.41597,primary,23,4,70
36.35618,127.40533,trunk,22,3,70
36.36147,127.43161,secondary,18,4,
35.56854,129.34351,secondary,19,,60
35.54875,129.30806,primary,29,5,60
35.53905,129.42796,secondary,8,3,40
35.62665,129.3538,tertiary,11,,
35.57056,129.35678,secondary,18,,60
35.56265,129.12579,primary,13,3,
35.43949,129.30601,tertiary,14,,
36.49867,127.25683,tertiary,20,4,50
36.4924,127.25639,tertiary,13,3,50
37.26687,127.00188,primary,26,,
37.73759,127.04284,tertiary,33,4,
37.7457,127.05515,primary,20,6,50
37.40217,126.97667,primary,12,4,
37.38999,126.94931,tertiary,6,4,
37.37029,126.95795,primary,19,,
37.50579,126.75222,,0,,
37.50068,126.77599,tertiary,15,4,60
36.99118,127.12129,,0,,
37.90041,127.05411,unclassified,5,2,
37.33645,126.81165,tertiary,13,,
37.45238,127.00174,primary,12,,
37.59325,127.19842,primary,18,4,80
37.6523,127.29964,,0,,
37.14274,127.0735,primary,20,3,
37.14882,127.07362,primary,13,4,50
37.3535,126.72561,tertiary,13,4,
37.37236,126.94288,tertiary,24,8,
37.35148,126.94477,primary,12,3,20
37.34952,126.97321,primary,13,,
37.55043,127.18669,primary,31,8,
37.56668,127.1843,secondary,8,,
37.27167,127.10569,primary,15,3,50
37.26985,127.09998,trunk,12,3,80
37.76444,126.77439,secondary,25,,
37.72897,126.73795,secondary,13,1,
37.24813,127.49147,primary,21,,
37.00257,127.26797,secondary,20,,60
37.0104,127.21957,trunk,15,,80
37.64426,126.62572,tertiary,6,2,
37.61927,126.72003,secondary,21,,
37.21303,127.0381,primary,13,,
37.2079,127.0351,primary,18,2,40
37.41417,127.26107,secondary,18,6,
37.36039,127.15039,primary,23,3,
37.81964,127.04693,secondary,13,,
37.80222,127.07563,trunk,11,6,80
37.89777,127.20487,primary,10,2,70
37.8236,127.14136,primary,10,6,60
37.82678,127.14836,primary,10,,
37.28894,127.63523,tertiary,22,6,
37.29382,127.6294,secondary,5,4,
37.30047,127.64968,secondary,7,4,50
38.02844,127.06561,primary,11,6,
37.98516,127.07044,secondary,9,2,
37.82822,127.51449,primary,19,,
37.73981,127.42116,primary,20,2,
37.50932,127.45033,trunk,26,4,
37.49574,127.48447,secondary,14,4,
37.87798,127.72478,tertiary,10,6,
37.34712,127.93258,tertiary,17,4,
37.74091,128.89149,primary,2,2,
37.75474,128.88185,tertiary,18,,
37.52543,129.10437,primary,9,6,60
37.53874,129.10196,tertiary,15,,
37.18087,128.97847,trunk,21,,60
38.19736,128.57619,primary,8,4,
38.19267,128.57852,primary,17,4,
38.18974,128.58088,primary,13,4,
37.44104,129.16373,tertiary,10,,
37.4615,129.15605,primary,11,,
37.69056,127.89907,trunk,10,4,80
37.77074,127.96727,secondary,4,,30
37.76339,127.95482,trunk,12,2,80
37.48586,127.98398,tertiary,16,,50
37.49101,127.98785,tertiary,24,,
37.48197,127.98147,trunk,12,,50
37.18829,128.55183,trunk,7,2,
37.63601,128.55757,primary,13,4,
37.43622,128.42091,primary,7,,
37.22674,128.79822,trunk,8,2,60
38.15807,127.31019,primary,11,4,
38.25854,127.28245,secondary,2,2,
38.05578,127.807,secondary,5,2,
38.07025,127.52238,primary,31,,
38.10234,127.70856,secondary,15,2,
38.10748,127.98938,tertiary,22,,
38.09638,127.98916,primary,10,,
37.9918,128.10621,trunk,5,4,80
38.18668,128.30791,trunk,7,,70
38.26088,128.55583,primary,18,4,80
38.24382,128.56935,primary,11,4,80
38.12963,128.622,primary,8,4,70
36.63491,127.46021,secondary,22,4,50
36.66411,127.48696,secondary,20,4,
36.97369,127.93026,secondary,11,4,60
37.12831,128.21124,,0,,
36.48948,127.72195,primary,10,2,
36.48548,127.71168,primary,13,,
36.30083,127.56489,primary,14,4,
36.29246,127.56838,primary,12,4,
36.1737,127.77393,primary,26,3,
36.17082,127.77531,primary,17,,
36.91191,127.50551,secondary,10,,
36.98902,127.44392,tertiary,18,2,60
36.97004,127.48265,secondary,8,,
37.02624,128.30972,primary,11,3,80
37.03357,128.30313,primary,8,,60
36.83251,127.13569,living_street,6,2,40
36.82659,127.13835,secondary,17,3,60
36.34853,126.60445,primary,19,3,60
36.3459,126.60178,primary,8,3,60
36.23293,126.59867,primary,7,,
36.78106,127.00557,primary,19,6,
36.78411,127.01613,secondary,29,,50
36.7699,126.47229,primary,14,3,80
36.77718,126.45177,secondary,12,4,50
36.77702,126.46163,secondary,10,4,50
36.20912,127.08127,secondary,15,2,50
36.10467,127.489,primary,5,,
36.10966,127.49107,primary,14,2,
36.11443,127.4936,primary,11,2,
36.27617,126.91585,secondary,13,4,
36.30875,126.85312,secondary,9,,
36.00722,126.70788,trunk,8,,70
36.03318,126.6724,secondary,8,,
36.44278,126.79746,trunk,17,,80
36.46106,126.79761,primary,11,,
36.6013,126.67115,tertiary,9,,
36.59969,126.6657,tertiary,20,,
36.60485,126.66232,tertiary,17,2,60
36.70564,126.66993,residential,9,1,
36.73897,126.8587,trunk,15,,80
35.81193,127.12464,tertiary,17,4,
35.83609,127.12449,tertiary,20,8,
35.81775,127.12302,tertiary,19,10,
35.96399,126.71568,tertiary,18,,
35.96696,126.7157,tertiary,12,,
35.55723,126.86572,secondary,9,,
35.55983,126.86751,secondary,6,,
35.58346,126.85221,secondary,10,,
35.4065,127.37639,primary,8,,
35.41524,127.38628,primary,20,,
35.39931,127.37929,secondary,11,,
35.8041,126.89572,secondary,12,,
35.91159,127.07429,secondary,7,,80
35.92106,127.10484,secondary,4,2,60
35.91532,127.06749,motorway,12,2,100
35.79143,127.42716,primary,21,2,
35.78626,127.42243,primary,17,2,
35.64768,127.51855,tertiary,8,,
35.67831,127.26738,primary,16,,
35.37661,127.14079,secondary,14,,
35.36461,127.14238,primary,13,2,
35.37114,127.14174,tertiary,10,,
35.43334,126.69238,primary,11,2,
35.51394,126.69025,primary,3,,
35.72642,126.73729,secondary,21,,15
35.72961,126.73725,secondary,35,,
35.72649,126.73222,secondary,34,,
34.80695,126.42701,tertiary,13,6,
34.81585,126.42014,tertiary,15,,
34.80986,126.42495,tertiary,12,6,
34.76141,127.66296,tertiary,18,6,50
34.76645,127.66278,tertiary,22,4,70
34.95376,127.52017,primary,25,,
34.94559,127.5017,secondary,44,,
34.97531,126.72864,trunk,10,,90
35.04643,126.83766,secondary,9,,60
35.0136,126.79558,tertiary,7,,
34.93943,127.68917,secondary,16,6,
35.31959,126.97972,primary,12,,
35.30943,126.98123,primary,17,4,50
35.28267,127.14566,trunk,9,2,
35.3009,127.29953,trunk,9,1,
35.20762,127.46456,secondary,17,2,
35.20553,127.46801,primary,12,1,
35.20995,127.47319,primary,11,,
34.52831,127.14061,primary,23,,
34.77748,127.09033,secondary,25,,
34.776,127.15627,primary,8,4,
35.06332,126.97943,secondary,23,,
35.01138,127.08283,secondary,3,,
34.67646,126.90963,secondary,20,4,
34.68338,126.9032,primary,7,,50
34.67305,126.90492,primary,8,2,50
34.62858,126.79008,trunk,7,2,
34.64025,126.77744,primary,8,4,
34.57165,126.60026,tertiary,23,,
34.57095,126.60718,secondary,23,,
34.56521,126.60203,secondary,9,,
34.73571,126.51069,trunk,7,4,
34.74541,126.46698,secondary,20,,
34.79953,126.70245,secondary,13,4,
34.80974,126.45948,tertiary,14,4,
34.8144,126.45644,tertiary,13,,
35.05658,126.54287,secondary,4,,
35.11105,126.6089,primary,8,,
35.01919,126.52788,trunk,9,,
35.27605,126.50106,primary,14,4,
35.27725,126.5049,secondary,13,4,
35.27309,126.50271,primary,22,4,
35.29237,126.78039,primary,12,2,
35.29425,126.76354,primary,12,,
34.3149,126.75778,secondary,6,2,
34.3159,126.75376,secondary,10,,
34.48121,126.26272,tertiary,12,,
34.47814,126.26388,primary,15,1,
34.83765,126.35372,primary,3,,
35.05806,126.20551,primary,7,,
36.03279,129.36603,primary,23,4,50
36.01013,129.34806,primary,21,3,50
35.8445,129.21394,tertiary,9,3,
35.83831,129.20266,primary,23,6,
36.12104,128.11833,tertiary,10,,
36.56336,128.72453,tertiary,7,3,60
36.14064,128.3097,motorway,21,4,100
36.8222,128.62436,primary,7,,
36.81414,128.61886,primary,22,2,20
36.81867,128.62779,secondary,11,,
35.93124,128.87227,secondary,12,4,50
35.9347,128.87018,trunk,12,4,
36.40845,128.15078,primary,5,2,100
36.5874,128.19263,secondary,15,,50
36.61088,128.24174,trunk,4,2,80
36.73886,128.14252,secondary,7,,
36.24102,128.56843,primary,8,2,45
36.34958,128.69719,secondary,7,6,
36.30801,128.60121,primary,6,,
36.36008,129.37906,primary,15,4,
36.35974,129.38395,tertiary,9,2,
35.71582,128.91454,primary,14,,
35.75116,128.36607,tertiary,6,,
35.88183,128.37316,trunk,14,2,70
35.91364,128.28471,secondary,8,,
36.07845,128.40084,primary,12,,60
36.63887,128.4538,trunk,16,2,
35.22108,128.68491,tertiary,11,,
35.25515,128.61323,secondary,11,,
35.15208,128.66543,primary,4,,
35.19565,128.07669,secondary,32,,
35.17952,128.10704,tertiary,7,3,
34.85879,128.42874,tertiary,13,2,
34.86023,128.4248,tertiary,21,6,
35.07996,128.08625,secondary,13,,
34.94214,128.08062,secondary,17,1,
35.23454,128.86674,tertiary,8,,
35.26071,128.87078,secondary,17,,
35.46973,128.76272,primary,23,4,
35.50129,128.74162,primary,17,,
34.89165,128.6231,primary,25,3,70
34.88792,128.62614,tertiary,16,,
34.86501,128.69031,tertiary,13,,
35.3436,129.03414,primary,19,8,80
35.33725,129.02743,residential,10,,
35.41422,129.17052,tertiary,24,,
35.4661,128.32452,tertiary,17,2,
35.37944,128.32746,primary,2,2,60
35.31582,128.25852,primary,10,,
35.27891,128.40365,primary,5,4,
35.3073,128.51764,secondary,12,,
35.5428,128.49522,primary,6,,
34.97396,128.3258,secondary,14,,
34.83981,127.894,tertiary,15,,
34.8352,127.89476,tertiary,11,,
35.11649,127.89645,primary,8,,
35.26321,127.89791,primary,3,,
35.42023,127.86909,primary,3,,
35.5205,127.72761,tertiary,21,,
35.51458,127.72925,primary,21,2,
35.68613,127.91653,secondary,10,,
35.68259,127.91217,secondary,26,2,
35.68289,127.9058,secondary,14,,
35.55602,128.16193,primary,11,2,
35.41268,128.12141,tertiary,12,,
33.49008,126.4866,secondary,9,6,
33.50548,126.4963,tertiary,30,,
33.24955,126.57131,secondary,11,,
37.57018,126.97707,primary,22,8,60
37.56601,126.98356,primary,27,5,60
37.54437,126.97222,primary,20,4,50
37.54424,127.03555,primary,20,4,
37.55202,127.04434,trunk,28,6,80
37.54831,127.06751,primary,27,3,
37.57558,127.02327,primary,44,4,60
37.59731,127.09294,primary,22,,50
37.58848,127.0062,primary,35,6,
37.66693,127.04422,primary,18,4,50
37.6531,127.05519,trunk,9,6,50
37.6104,126.92877,primary,19,3,50
37.59111,126.9417,trunk,31,8,70
37.5726,126.95983,primary,16,8,50
37.56003,126.94001,primary,21,,
37.55465,126.93637,primary,42,4,20
37.51707,126.83947,primary,23,7,
37.55858,126.83828,primary,25,7,60
37.47939,126.88996,primary,17,2,
37.48179,126.88669,primary,16,4,60
37.46652,126.89776,primary,18,4,50
37.46887,126.90238,secondary,17,4,60
37.53643,126.89839,primary,27,,
37.51703,126.90637,primary,18,,50
37.5038,126.9479,primary,22,6,
37.51362,126.95614,trunk,17,4,80
37.46221,127.03801,trunk,15,3,50
