key,road_class,n_roads,max_lanes,maxspeed
37.50629,126.67353,secondary,15,,
37.59374,126.67288,secondary,17,10,60
37.7412,126.49697,secondary,5,,
37.74681,126.48532,secondary,12,,
37.73756,126.51374,primary,19,8,
35.13936,126.92297,primary,29,2,80
35.15088,126.93039,primary,15,4,60
35.14956,126.92216,tertiary,11,,
35.1529,126.85299,tertiary,7,4,
35.15021,126.85713,primary,23,4,60
35.16133,126.88347,primary,15,8,70
35.13442,126.89965,primary,23,4,60
35.13376,126.90759,primary,16,4,60
35.13337,126.90136,primary,41,4,60
35.18727,126.8996,secondary,18,6,
35.1765,126.9279,primary,21,,60
35.17682,126.87912,primary,20,4,60
35.19074,126.82386,secondary,21,3,60
35.14162,126.79472,primary,22,4,60
35.19067,126.82882,secondary,20,6,50
36.35108,127.44212,secondary,24,6,70
36.33119,127.43267,primary,36,4,70
36.34751,127.43211,secondary,18,6,
36.31314,127.43489,secondary,17,4,
36.324,127.42023,secondary,21,4,
36.31689,127.39159,primary,23,4,70
36.34973,127.37739,primary,15,4,70
36.35309,127.36891,primary,24,4,70
36.35134,127.37843,primary,24,4,70
36.35534,127.342,secondary,12,4,
36.39589,127.31188,trunk,17,4,80
36.36049,127.30417,primary,28,4,70
36.35652,127.40551,trunk,24,3,70
36.35617,127.445,secondary,21,4,
36.35859,127.41559,primary,17,4,70
35.5788,129.34222,primary,18,,80
35.55338,129.3089,primary,10,6,60
35.55869,129.32782,secondary,12,,60
35.53218,129.30757,primary,39,,60
35.55008,129.26378,primary,28,3,70
35.53771,129.33513,secondary,13,,60
35.49811,129.42801,secondary,8,,
35.50743,129.43005,secondary,11,1,
35.5043,129.42957,secondary,11,,
35.5491,129.35776,secondary,10,3,70
35.62857,129.35245,tertiary,13,,
35.55624,129.36062,secondary,12,,70
35.43378,129.31063,secondary,18,,
35.56231,129.12691,motorway,18,3,100
35.56994,129.2433,secondary,16,4,
36.51167,127.24824,tertiary,15,,
36.60127,127.29809,tertiary,43,4,
36.50391,127.26704,tertiary,9,4,50
37.26836,127.02723,primary,21,,
37.29505,127.01636,primary,10,,
37.29817,126.97151,secondary,28,5,
37.43284,127.12902,primary,20,,80
37.43,127.12941,primary,16,,80
37.44092,127.13184,secondary,24,4,
37.73718,127.04286,tertiary,28,4,
37.73741,127.05179,tertiary,26,4,50
37.74115,127.04715,secondary,27,4,50
37.3779,126.95426,motorway,17,4,100
37.40373,126.95726,primary,20,,
37.38906,126.94816,primary,15,,
37.50475,126.76318,tertiary,13,4,60
37.50488,126.75308,tertiary,17,5,50
37.48587,126.78303,primary,16,5,
37.47938,126.85443,secondary,15,,
37.47848,126.85751,secondary,14,,
37.47553,126.86613,secondary,12,,
36.99173,127.08812,secondary,19,,
37.06662,127.06402,primary,19,4,70
36.99562,127.08312,tertiary,16,,
37.90036,127.05268,tertiary,8,2,
37.89254,127.05722,secondary,8,6,
37.89949,127.05767,secondary,6,4,
37.31619,126.84513,primary,14,7,
37.30158,126.86697,secondary,12,3,
37.31661,126.83682,primary,27,4,60
37.66337,126.76903,primary,14,4,60
37.65729,126.77364,primary,8,4,60
37.64306,126.78805,primary,24,6,60
37.42781,126.99135,tertiary,7,,
37.43452,126.99722,tertiary,14,4,
37.41141,126.98048,motorway,8,3,100
37.601,127.14119,primary,25,6,
37.58939,127.15651,motorway,7,5,80
37.59788,127.14348,tertiary,18,,30
37.65359,127.24379,tertiary,19,,30
37.71615,127.1798,residential,23,,
37.58674,127.21222,residential,20,2,60
37.14173,127.07348,primary,17,3,
37.14637,127.07356,primary,14,,
37.15582,127.07286,primary,19,,
37.34689,126.73635,tertiary,15,4,
37.45936,126.80272,secondary,15,,
37.35146,126.74073,secondary,18,4,
37.35752,126.93142,tertiary,13,,
37.35862,126.93481,tertiary,16,,
37.35071,126.94463,primary,14,3,20
37.3525,126.97139,primary,23,,
37.35862,126.96553,primary,16,8,
37.34501,126.9757,primary,18,,
37.5498,127.18683,primary,34,8,
37.53798,127.20455,tertiary,23,2,40
37.54166,127.20688,primary,40,8,
37.27038,127.10566,trunk,18,,50
37.25365,127.10527,motorway,11,4,110
37.3245,127.09809,secondary,22,,
37.75908,126.77671,secondary,7,,
37.75775,126.77223,tertiary,16,,
37.76509,126.7739,secondary,17,6,60
37.28084,127.44699,secondary,25,,
37.27823,127.44683,secondary,14,,
37.28436,127.44719,secondary,21,,
37.00379,127.26835,secondary,20,,
37.00704,127.26653,secondary,14,,
36.99389,127.13789,primary,6,6,80
37.59978,126.77168,primary,17,2,70
37.69161,126.59867,tertiary,18,4,
37.62115,126.71577,secondary,16,,60
37.20655,127.07578,primary,26,4,60
37.21367,127.04112,primary,15,,
37.13154,126.92121,primary,12,,
37.40995,127.25928,tertiary,10,6,
37.4077,127.26101,tertiary,21,6,70
37.41582,127.25072,secondary,16,4,
